Pos,Name,Time,Category (POS),Gender (POS),Swim,T1,Cycle,T2,Run,Bib,Category_pos,Gender_pos,Category,Gender
49,Mark HUNTER ,09:36:28,35-39 (8),Male (42),01:07:11,00:03:31,05:06:32,00:01:40,03:17:32,#142,8,42,35-39,Male 
50,Nick FOSTER ,09:36:37,18-24 (1),Male (43),01:07:59,00:04:02,04:55:04,00:02:07,03:27:23,#427,1,43,18-24,Male 
51,David BRYANT ,09:38:24,25-29 (5),Male (44),01:02:47,00:05:26,05:02:12,00:03:07,03:24:51,#1179,5,44,25-29,Male 
52,Bill HAYES ,09:38:31,50-54 (1),Male (45),01:07:16,00:03:53,04:57:04,00:02:28,03:27:48,#1187,1,45,50-54,Male 
53,Todd ISRAEL ,09:38:46,40-44 (6),Male (46),00:54:36,00:03:51,04:48:31,00:03:58,03:47:48,#763,6,46,40-44,Male 
54,Ling Er CHOO ,09:38:50,30-34 (2),Female (8),01:03:02,00:03:37,04:57:37,00:02:40,03:31:51,#165,2,8,30-34,Female 
55,Scott DONALDSON ,09:39:01,35-39 (9),Male (47),00:55:25,00:03:35,05:09:18,00:02:26,03:28:15,#249,9,47,35-39,Male 
56,Gavan CRUISE ,09:39:04,30-34 (10),Male (48),00:56:16,00:04:16,04:58:45,00:04:49,03:34:56,#526,10,48,30-34,Male 
57,Matthew WALLACE ,09:39:16,30-34 (11),Male (49),01:01:34,00:03:31,05:02:08,00:02:52,03:29:10,#584,11,49,30-34,Male 
58,Hamish DEERY ,09:39:45,45-49 (7),Male (50),01:09:23,00:04:08,04:57:52,00:02:28,03:25:53,#135,7,50,45-49,Male 
60,Michael ENTWISTLE ,09:40:21,25-29 (6),Male (51),00:51:28,00:02:50,05:02:47,00:02:33,03:40:41,#452,6,51,25-29,Male 
61,Jake TOBIN ,09:41:36,25-29 (7),Male (52),01:07:20,00:04:32,05:03:08,00:03:13,03:23:21,#484,7,52,25-29,Male 
62,David ORRIT ,09:41:40,40-44 (7),Male (53),00:58:29,00:04:01,05:03:15,00:04:53,03:31:00,#378,7,53,40-44,Male 
63,Anna EBERHARDT ,09:42:59,Pro (6),Female (10),01:10:21,00:03:31,05:06:40,00:01:45,03:20:40,#40,6,10,Pro,Female 
64,Buck COCKMAN ,09:43:23,40-44 (8),Male (54),00:58:01,00:04:12,05:01:19,00:03:03,03:36:45,#742,8,54,40-44,Male 
65,Tim FACEY ,09:44:19,40-44 (9),Male (55),01:00:20,00:04:16,05:03:13,00:03:45,03:32:42,#176,9,55,40-44,Male 
66,Michael GLAZBROOK ,09:44:21,50-54 (2),Male (56),01:00:34,00:04:32,05:05:21,00:05:27,03:28:26,#123,2,56,50-54,Male 
67,Richard RENDELL ,09:46:01,35-39 (10),Male (57),01:07:46,00:04:09,04:58:00,00:02:12,03:33:52,#1201,10,57,35-39,Male 
68,James KNIPE ,09:47:42,35-39 (11),Male (58),01:08:35,00:02:41,05:07:43,00:01:45,03:26:56,#388,11,58,35-39,Male 
69,Ali KING ,09:47:49,35-39 (12),Male (59),01:09:03,00:04:55,05:12:39,00:02:48,03:18:23,#646,12,59,35-39,Male 
70,Joshua MURPHY ,09:48:03,25-29 (8),Male (60),01:05:37,00:03:35,05:05:01,00:02:50,03:30:58,#476,8,60,25-29,Male 
71,Marcus SMITH ,09:48:09,45-49 (8),Male (61),01:03:02,00:05:14,04:49:13,00:03:39,03:46:59,#248,8,61,45-49,Male 
72,Craig SMITH ,09:48:54,45-49 (9),Male (62),01:04:27,00:03:46,04:51:40,00:03:17,03:45:40,#147,9,62,45-49,Male 
73,Anthony SCHAEPMAN ,09:49:01,35-39 (13),Male (63),00:56:29,00:03:28,04:57:38,00:02:53,03:48:31,#685,13,63,35-39,Male 
74,Nathaniel WELLS ,09:49:13,18-24 (2),Male (64),00:53:49,00:04:23,05:11:08,00:03:34,03:36:17,#438,2,64,18-24,Male 
75,Ben WASHINGTON ,09:50:53,35-39 (14),Male (65),01:06:17,00:04:11,05:11:41,00:03:27,03:25:15,#699,14,65,35-39,Male 
76,Shane GOODHEW ,09:50:56,25-29 (9),Male (66),01:03:11,00:03:37,05:04:39,00:03:20,03:36:07,#456,9,66,25-29,Male 
77,Ken KOIKE ,09:51:16,40-44 (10),Male (67),00:52:42,00:02:52,05:16:40,00:02:06,03:36:54,#145,10,67,40-44,Male 
78,Angas SWANN ,09:52:27,35-39 (15),Male (68),01:01:22,00:03:57,04:54:38,00:03:12,03:49:17,#345,15,68,35-39,Male 
79,Stijn DE VRIENDT ,09:53:01,30-34 (12),Male (69),01:01:46,00:03:42,05:12:37,00:02:43,03:32:12,#529,12,69,30-34,Male 
80,Martin GOODLAD ,09:54:51,45-49 (10),Male (70),00:57:16,00:03:17,04:55:41,00:02:52,03:55:43,#1184,10,70,45-49,Male 
81,Todd RIDGE ,09:54:52,40-44 (11),Male (71),01:03:49,00:03:28,05:11:12,00:03:02,03:33:19,#128,11,71,40-44,Male 
82,Ewin TEO ,09:55:20,35-39 (16),Male (72),01:03:31,00:03:08,05:02:24,00:02:48,03:43:27,#161,16,72,35-39,Male 
83,Matthew LYON ,09:56:03,25-29 (10),Male (73),00:57:29,00:04:46,05:17:08,00:03:17,03:33:20,#469,10,73,25-29,Male 
84,Natia VAN HEERDEN ,09:56:46,25-29 (2),Female (11),00:59:56,00:03:02,05:25:49,00:01:26,03:26:32,#129,2,11,25-29,Female 
85,Dean HOLWILL ,09:57:10,50-54 (3),Male (74),01:06:47,00:04:55,05:06:28,00:03:15,03:35:43,#298,3,74,50-54,Male 
86,Lukas HOFFMANN ,09:57:19,40-44 (12),Male (75),01:00:04,00:03:38,05:06:43,00:05:40,03:41:12,#761,12,75,40-44,Male 
87,Mark BOWRING ,09:57:48,40-44 (13),Male (76),00:54:07,00:03:07,05:12:52,00:02:58,03:44:42,#153,13,76,40-44,Male 
88,Edward JENNINGS ,09:58:08,25-29 (11),Male (77),01:08:26,00:03:10,04:49:52,00:01:53,03:54:44,#463,11,77,25-29,Male 
89,Patrick JEANNERAT ,09:58:12,40-44 (14),Male (78),01:05:12,00:04:52,04:48:40,00:03:59,03:55:28,#765,14,78,40-44,Male 
90,Stephen TETLEY ,09:58:16,45-49 (11),Male (79),01:01:07,00:05:19,05:05:48,00:04:11,03:41:49,#963,11,79,45-49,Male 
91,Jessica MITCHELL ,09:58:26,Pro (7),Female (12),01:02:52,00:03:57,05:13:31,00:02:41,03:35:23,#35,7,12,Pro,Female 
92,Jason MCNAMARA ,09:59:00,40-44 (15),Male (80),01:07:06,00:04:40,05:06:11,00:04:06,03:36:55,#235,15,80,40-44,Male 
93,Daniel WRIGHT ,09:59:10,30-34 (13),Male (81),01:03:48,00:04:37,04:59:13,00:02:20,03:49:10,#588,13,81,30-34,Male 
94,Christian KLINKEN ,09:59:30,30-34 (14),Male (82),01:05:40,00:05:20,05:04:46,00:03:50,03:39:52,#1193,14,82,30-34,Male 
95,Josh ADAMS ,10:01:28,25-29 (12),Male (83),01:06:57,00:04:07,05:04:15,00:03:22,03:42:46,#1174,12,83,25-29,Male 
96,Philipp ALBERT ,10:01:35,35-39 (17),Male (84),01:09:01,00:04:43,05:01:44,00:04:05,03:42:02,#387,17,84,35-39,Male 
97,Brad SYMONS ,10:01:39,35-39 (18),Male (85),01:01:31,00:04:04,05:06:16,00:03:04,03:46:42,#694,18,85,35-39,Male 
98,Ruben JIMENEZ AMORIZ ,10:02:02,45-49 (12),Male (86),01:04:29,00:03:49,05:08:21,00:03:08,03:42:15,#210,12,86,45-49,Male 
99,Peter THAUS ,10:02:27,45-49 (13),Male (87),01:05:16,00:03:49,05:06:31,00:02:19,03:44:30,#122,13,87,45-49,Male 
100,Jeremy ROBINSON ,10:02:34,18-24 (3),Male (88),00:58:41,00:05:13,05:09:13,00:02:21,03:47:02,#434,3,88,18-24,Male 
101,Jodie BROWNING ,10:02:51,40-44 (1),Female (13),00:58:35,00:04:05,05:10:15,00:02:09,03:47:45,#168,1,13,40-44,Female 
102,Michael BEGG ,10:02:55,45-49 (14),Male (89),01:03:29,00:04:00,04:58:59,00:02:40,03:53:45,#861,14,89,45-49,Male 
103,Giles NEWMARCH ,10:03:17,35-39 (19),Male (90),01:01:50,00:05:35,05:11:18,00:03:55,03:40:37,#667,19,90,35-39,Male 
104,Shane MATTHEWS ,10:03:58,30-34 (15),Male (91),01:06:43,00:04:24,05:03:56,00:02:03,03:46:51,#321,15,91,30-34,Male 
105,Nick ASHTON ,10:05:00,35-39 (20),Male (92),01:01:07,00:06:44,05:18:20,00:04:32,03:34:15,#610,20,92,35-39,Male 
106,Dylan TRENERRY ,10:05:17,25-29 (13),Male (93),01:00:24,00:04:37,05:22:47,00:04:25,03:33:02,#485,13,93,25-29,Male 
107,Adrian WHITTAKER ,10:05:38,35-39 (21),Male (94),01:08:04,00:03:50,05:11:59,00:02:24,03:39:20,#413,21,94,35-39,Male 
108,Chad MCKNIGHT ,10:05:58,40-44 (16),Male (95),01:10:17,00:04:38,05:15:07,00:03:17,03:32:38,#779,16,95,40-44,Male 
109,Matthew THOMPSON ,10:06:01,35-39 (22),Male (96),01:07:00,00:04:16,05:13:53,00:03:45,03:37:06,#332,22,96,35-39,Male 
110,Jon PETTINGILL ,10:06:18,45-49 (15),Male (97),01:08:49,00:03:28,04:56:27,00:02:08,03:55:24,#1199,15,97,45-49,Male 
111,Greg KELSON ,10:08:36,55-59 (1),Male (98),01:07:03,00:05:03,05:13:23,00:04:51,03:38:16,#1114,1,98,55-59,Male 
112,Tully WOODLAND ,10:08:40,30-34 (16),Male (99),01:04:05,00:05:48,05:06:56,00:02:57,03:48:52,#587,16,99,30-34,Male 
113,Angus JOHN WIPPELL ,10:09:42,50-54 (4),Male (100),00:59:00,00:04:45,05:15:37,00:02:36,03:47:42,#1192,4,100,50-54,Male 
114,Justin FARLEY ,10:11:24,45-49 (16),Male (101),01:01:22,00:03:53,05:02:44,00:03:45,03:59:38,#885,16,101,45-49,Male 
115,Hikaru SUDA ,10:11:31,45-49 (17),Male (102),01:08:14,00:03:24,05:25:51,00:02:42,03:31:18,#960,17,102,45-49,Male 
116,Benjamin HECKSCHER ,10:11:47,35-39 (23),Male (103),01:03:36,00:02:57,05:02:57,00:04:17,03:57:58,#171,23,103,35-39,Male 
117,Mark LAMPARD ,10:12:18,45-49 (18),Male (104),01:02:52,00:04:45,05:06:39,00:04:50,03:53:12,#260,18,104,45-49,Male 
118,Jonathan CAHILL ,10:13:25,50-54 (5),Male (105),00:59:12,00:04:15,05:03:22,00:03:05,04:03:29,#127,5,105,50-54,Male 
119,Mark DAWSON ,10:14:02,30-34 (17),Male (106),01:06:15,00:06:25,05:12:26,00:06:14,03:42:40,#528,17,106,30-34,Male 
120,Peter CARNE ,10:14:46,50-54 (6),Male (107),01:02:04,00:04:24,05:06:31,00:03:59,03:57:47,#136,6,107,50-54,Male 
121,Gregory BURFORD ,10:15:26,50-54 (7),Male (108),01:06:25,00:03:15,05:19:10,00:03:57,03:42:36,#1020,7,108,50-54,Male 
122,Brendan KEATES ,10:15:57,45-49 (19),Male (109),01:10:26,00:07:45,05:07:35,00:06:31,03:43:38,#200,19,109,45-49,Male 
123,Pieter MACKEITH ,10:16:00,30-34 (18),Male (110),01:01:41,00:06:27,05:19:23,00:05:49,03:42:38,#553,18,110,30-34,Male 
124,Terrance BRITT ,10:16:30,40-44 (17),Male (111),01:00:03,00:03:19,05:05:08,00:04:46,04:03:12,#150,17,111,40-44,Male 
125,Georgina MERVIN ,10:16:40,40-44 (2),Female (14),01:00:34,00:05:47,05:19:05,00:03:28,03:47:45,#845,2,14,40-44,Female 
126,Brett DUNSTAN ,10:17:00,45-49 (20),Male (112),01:05:30,00:03:51,05:05:14,00:04:45,03:57:39,#883,20,112,45-49,Male 
127,Richard STACEY ,10:17:06,50-54 (8),Male (113),01:02:17,00:05:49,05:16:46,00:04:10,03:48:03,#1062,8,113,50-54,Male 
128,Christopher BROWN ,10:17:57,30-34 (19),Male (114),01:00:29,00:04:57,05:18:10,00:04:45,03:49:35,#515,19,114,30-34,Male 
129,Chris DALE ,10:18:10,40-44 (18),Male (115),01:01:21,00:04:11,05:20:23,00:02:33,03:49:39,#745,18,115,40-44,Male 
130,Michelle BOYES ,10:18:40,45-49 (1),Female (15),01:06:27,00:03:11,05:18:35,00:02:08,03:48:17,#11026,1,15,45-49,Female 
131,Ben BROWNE ,10:19:38,40-44 (19),Male (116),01:10:58,00:02:38,05:03:33,00:02:37,03:59:51,#173,19,116,40-44,Male 
132,Stella FOLEY ,10:19:41,35-39 (2),Female (16),01:13:01,00:04:31,05:16:33,00:02:00,03:43:34,#155,2,16,35-39,Female 
133,Bret WESSELS ,10:19:58,35-39 (24),Male (117),00:56:35,00:05:22,05:06:06,00:03:37,04:08:15,#700,24,117,35-39,Male 
134,Fred VANDESCHOOR ,10:20:01,45-49 (21),Male (118),01:05:15,00:05:27,04:46:28,00:04:31,04:18:18,#967,21,118,45-49,Male 
135,Shannon BENSON ,10:20:12,30-34 (3),Female (17),00:59:15,00:04:22,05:24:35,00:02:51,03:49:08,#218,3,17,30-34,Female 
136,Matty MATONTI ,10:21:21,40-44 (20),Male (119),01:12:12,00:03:35,05:05:30,00:03:28,03:56:33,#144,20,119,40-44,Male 
137,Melanie BAUMANN ,10:21:40,Pro (8),Female (18),01:19:08,00:04:21,05:04:15,00:03:12,03:50:41,#38,8,18,Pro,Female 
138,Sam ELLIOTT ,10:21:49,45-49 (22),Male (120),01:03:27,00:02:59,04:52:36,00:02:22,04:20:24,#315,22,120,45-49,Male 
139,Craig BURDEKIN ,10:22:04,40-44 (21),Male (121),00:53:41,00:04:37,05:25:59,00:02:48,03:54:56,#736,21,121,40-44,Male 
140,David LOCK ,10:22:23,45-49 (23),Male (122),01:05:41,00:02:52,05:18:14,00:02:22,03:53:12,#250,23,122,45-49,Male 
141,Jason CHESHIRE ,10:22:46,40-44 (22),Male (123),01:00:10,00:03:59,04:58:30,00:04:34,04:15:31,#740,22,123,40-44,Male 
142,Brad HOUGH ,10:24:05,50-54 (9),Male (124),01:09:41,00:05:18,05:21:02,00:03:26,03:44:35,#243,9,124,50-54,Male 
143,Shari LIVINGSTON ,10:24:12,30-34 (4),Female (19),01:05:01,00:05:35,05:34:53,00:03:53,03:34:48,#598,4,19,30-34,Female 
144,Bruno DE DECKER ,10:24:13,50-54 (10),Male (125),01:00:59,00:04:29,05:02:23,00:04:41,04:11:40,#1029,10,125,50-54,Male 
145,James O'NEILL ,10:24:27,25-29 (14),Male (126),01:10:22,00:07:22,05:20:25,00:04:32,03:41:44,#479,14,126,25-29,Male 
146,Matthieu BONNE ,10:25:18,18-24 (4),Male (127),01:03:04,00:04:44,05:31:40,00:03:28,03:42:21,#422,4,127,18-24,Male 
147,Mario SCHABUS ,10:25:19,30-34 (20),Male (128),01:15:22,00:06:03,05:10:14,00:07:06,03:46:32,#568,20,128,30-34,Male 
148,Anthony RALPH ,10:25:34,40-44 (23),Male (129),01:14:20,00:04:33,05:11:41,00:03:43,03:51:16,#179,23,129,40-44,Male 
149,Darren PESICH ,10:25:38,40-44 (24),Male (130),01:08:34,00:04:08,05:12:54,00:04:02,03:55:58,#1209,24,130,40-44,Male 
150,Oliver ARNOTT ,10:26:26,25-29 (15),Male (131),01:04:09,00:04:23,05:17:13,00:04:52,03:55:46,#442,15,131,25-29,Male 
151,Rhett PEMBER ,10:27:33,30-34 (21),Male (132),01:04:23,00:03:42,05:31:19,00:02:45,03:45:21,#279,21,132,30-34,Male 
152,Jaimie PERRY ,10:27:49,45-49 (24),Male (133),01:00:46,00:05:05,05:24:15,00:04:13,03:53:28,#234,24,133,45-49,Male 
153,Brad POKROY ,10:28:09,35-39 (25),Male (134),01:21:45,00:03:59,05:03:21,00:04:07,03:54:55,#675,25,134,35-39,Male 
154,Kathleen BOURCHIER ,10:28:15,35-39 (3),Female (20),01:02:21,00:03:20,05:34:38,00:03:42,03:44:12,#708,3,20,35-39,Female 
155,Leo BEYERS ,10:28:39,40-44 (25),Male (135),01:07:41,00:04:06,05:22:55,00:02:37,03:51:19,#282,25,135,40-44,Male 
156,Benjamin TREWBEN ,10:29:24,40-44 (26),Male (136),01:03:27,00:04:18,05:18:16,00:05:02,03:58:18,#818,26,136,40-44,Male 
157,Marcus BOLTON ,10:29:44,40-44 (27),Male (137),01:06:32,00:05:57,05:27:22,00:05:16,03:44:36,#734,27,137,40-44,Male 
158,Jack SINCLAIR ,10:29:48,18-24 (5),Male (138),01:09:00,00:05:09,05:29:03,00:04:33,03:42:01,#436,5,138,18-24,Male 
159,Vinny VENESS ,10:30:53,45-49 (25),Male (139),00:59:11,00:04:34,05:01:39,00:06:25,04:19:01,#156,25,139,45-49,Male 
160,Marcel BOSSOG ,10:31:12,40-44 (28),Male (140),01:09:36,00:05:12,04:58:07,00:05:16,04:12:59,#246,28,140,40-44,Male 
161,Len HARTLEY ,10:32:03,35-39 (26),Male (141),01:03:06,00:04:33,05:34:20,00:04:09,03:45:53,#186,26,141,35-39,Male 
162,Jason HAVILAH ,10:32:18,30-34 (22),Male (142),01:02:18,00:03:36,05:39:51,00:02:56,03:43:36,#326,22,142,30-34,Male 
163,Tim MONTAGUE-JONES ,10:34:06,45-49 (26),Male (143),01:11:18,00:05:33,05:08:50,00:03:50,04:04:34,#208,26,143,45-49,Male 
164,Stephanie REINHOLD ,10:34:40,30-34 (5),Female (21),01:13:10,00:04:53,05:19:50,00:04:38,03:52:08,#1200,5,21,30-34,Female 
165,Brad MARTENS ,10:34:52,40-44 (29),Male (144),01:01:37,00:03:58,05:00:50,00:03:45,04:24:39,#172,29,144,40-44,Male 
166,Martin HILL ,10:35:10,40-44 (30),Male (145),01:07:23,00:03:54,05:12:37,00:04:57,04:06:16,#291,30,145,40-44,Male 
167,Tomas RACEK ,10:35:33,35-39 (27),Male (146),01:02:47,00:04:02,05:14:44,00:02:24,04:11:34,#679,27,146,35-39,Male 
168,Warren PROCTOR ,10:36:08,35-39 (28),Male (147),01:11:24,00:04:12,05:51:36,00:02:32,03:26:22,#677,28,147,35-39,Male 
169,Kathryn KROSCH ,10:36:18,25-29 (3),Female (22),01:08:54,00:03:46,05:17:18,00:02:44,04:03:34,#502,3,22,25-29,Female 
170,Grégoire SAUVÉ ,10:36:22,40-44 (31),Male (148),01:15:59,00:05:53,05:30:21,00:04:24,03:39:43,#802,31,148,40-44,Male 
171,Tony MILLS ,10:36:40,45-49 (27),Male (149),01:06:43,00:05:00,05:13:24,00:03:12,04:08:20,#189,27,149,45-49,Male 
172,Hal CROSS ,10:36:46,50-54 (11),Male (150),01:11:45,00:04:12,05:19:05,00:04:05,03:57:36,#137,11,150,50-54,Male 
173,Andrew PHILP ,10:37:29,35-39 (29),Male (151),01:17:23,00:05:09,05:01:23,00:04:39,04:08:53,#673,29,151,35-39,Male 
174,Charles PICQ ,10:37:47,40-44 (32),Male (152),01:20:34,00:07:44,05:31:47,00:06:16,03:31:24,#794,32,152,40-44,Male 
175,Yasutomo IKEDA ,10:37:51,18-24 (6),Male (153),00:51:43,00:06:14,05:34:55,00:04:37,04:00:20,#429,6,153,18-24,Male 
176,John YOUNG ,10:38:37,45-49 (28),Male (154),01:03:02,00:06:00,05:14:02,00:03:51,04:11:40,#979,28,154,45-49,Male 
177,Brooke NICOL ,10:38:49,40-44 (3),Female (23),01:12:57,00:03:55,05:22:09,00:03:43,03:56:03,#294,3,23,40-44,Female 
178,Steven BISHOP ,10:38:55,45-49 (29),Male (155),01:10:15,00:04:50,05:38:12,00:02:35,03:43:01,#206,29,155,45-49,Male 
179,Magdalena WARZYBOK ,10:39:44,35-39 (4),Female (24),01:09:38,00:03:35,05:26:36,00:02:48,03:57:04,#1207,4,24,35-39,Female 
180,Duncan WILLIAMS ,10:39:55,25-29 (16),Male (156),00:57:34,00:06:09,05:22:55,00:05:26,04:07:49,#384,16,156,25-29,Male 
181,Brendan COCHRANE ,10:40:28,45-49 (30),Male (157),01:00:45,00:04:04,05:13:42,00:03:14,04:18:41,#871,30,157,45-49,Male 
182,Wayne FOSTER ,10:40:59,50-54 (12),Male (158),01:06:07,00:04:57,05:19:31,00:04:39,04:05:43,#216,12,158,50-54,Male 
183,Steve HUGHES ,10:41:34,45-49 (31),Male (159),01:03:25,00:06:17,05:18:24,00:06:05,04:07:21,#903,31,159,45-49,Male 
